U+0023	#	['NUMBER', 'SIGN']
U+10734	𐜴	['LINEAR', 'A', 'SIGN', 'A662']
U+10735	𐜵	['LINEAR', 'A', 'SIGN', 'A663']
U+10736	𐜶	['LINEAR', 'A', 'SIGN', 'A664']
U+10740	𐝀	['LINEAR', 'A', 'SIGN', 'A701', 'A']
U+10741	𐝁	['LINEAR', 'A', 'SIGN', 'A702', 'B']
U+10742	𐝂	['LINEAR', 'A', 'SIGN', 'A703', 'D']
U+10743	𐝃	['LINEAR', 'A', 'SIGN', 'A704', 'E']
U+10744	𐝄	['LINEAR', 'A', 'SIGN', 'A705', 'F']
U+10745	𐝅	['LINEAR', 'A', 'SIGN', 'A706', 'H']
U+10746	𐝆	['LINEAR', 'A', 'SIGN', 'A707', 'J']
U+10747	𐝇	['LINEAR', 'A', 'SIGN', 'A708', 'K']
U+10748	𐝈	['LINEAR', 'A', 'SIGN', 'A709', 'L']
U+10749	𐝉	['LINEAR', 'A', 'SIGN', 'A709', '2', 'L2']
U+1074A	𐝊	['LINEAR', 'A', 'SIGN', 'A709', '3', 'L3']
U+1074B	𐝋	['LINEAR', 'A', 'SIGN', 'A709', '4', 'L4']
U+1074C	𐝌	['LINEAR', 'A', 'SIGN', 'A709', '6', 'L6']
U+1074D	𐝍	['LINEAR', 'A', 'SIGN', 'A710', 'W']
U+1074E	𐝎	['LINEAR', 'A', 'SIGN', 'A711', 'X']
U+1074F	𐝏	['LINEAR', 'A', 'SIGN', 'A712', 'Y']
U+10750	𐝐	['LINEAR', 'A', 'SIGN', 'A713', 'OMEGA']
U+10751	𐝑	['LINEAR', 'A', 'SIGN', 'A714', 'ABB']
U+10752	𐝒	['LINEAR', 'A', 'SIGN', 'A715', 'BB']
U+10753	𐝓	['LINEAR', 'A', 'SIGN', 'A717', 'DD']
U+10754	𐝔	['LINEAR', 'A', 'SIGN', 'A726', 'EYYY']
U+10755	𐝕	['LINEAR', 'A', 'SIGN', 'A732', 'JE']
U+10760	𐝠	['LINEAR', 'A', 'SIGN', 'A800']
U+10761	𐝡	['LINEAR', 'A', 'SIGN', 'A801']
U+10762	𐝢	['LINEAR', 'A', 'SIGN', 'A802']
U+10763	𐝣	['LINEAR', 'A', 'SIGN', 'A803']
U+10764	𐝤	['LINEAR', 'A', 'SIGN', 'A804']
U+10765	𐝥	['LINEAR', 'A', 'SIGN', 'A805']
U+10766	𐝦	['LINEAR', 'A', 'SIGN', 'A806']
U+10767	𐝧	['LINEAR', 'A', 'SIGN', 'A807']
U+10857	𐡗	['IMPERIAL', 'ARAMAIC', 'SECTION', 'SIGN']
U+10A01	𐨁	['KHAROSHTHI', 'VOWEL', 'SIGN', 'I']
U+10A02	𐨂	['KHAROSHTHI', 'VOWEL', 'SIGN', 'U']
U+10A03	𐨃	['KHAROSHTHI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+10A05	𐨅	['KHAROSHTHI', 'VOWEL', 'SIGN', 'E']
U+10A06	𐨆	['KHAROSHTHI', 'VOWEL', 'SIGN', 'O']
U+10A0D	𐨍	['KHAROSHTHI', 'SIGN', 'DOUBLE', 'RING', 'BELOW']
U+10A0E	𐨎	['KHAROSHTHI', 'SIGN', 'ANUSVARA']
U+10A0F	𐨏	['KHAROSHTHI', 'SIGN', 'VISARGA']
U+10A38	𐨸	['KHAROSHTHI', 'SIGN', 'BAR', 'ABOVE']
U+10A39	𐨹	['KHAROSHTHI', 'SIGN', 'CAUDA']
U+10A3A	𐨺	['KHAROSHTHI', 'SIGN', 'DOT', 'BELOW']
U+10AC8	𐫈	['MANICHAEAN', 'SIGN', 'UD']
U+10CB1	𐲱	['OLD', 'HUNGARIAN', 'CAPITAL', 'LETTER', 'ENT', 'SHAPED', 'SIGN']
U+10CF1	𐳱	['OLD', 'HUNGARIAN', 'SMALL', 'LETTER', 'ENT', 'SHAPED', 'SIGN']
U+10D24	𐴤	['HANIFI', 'ROHINGYA', 'SIGN', 'HARBAHAY']
U+10D25	𐴥	['HANIFI', 'ROHINGYA', 'SIGN', 'TAHALA']
U+10D26	𐴦	['HANIFI', 'ROHINGYA', 'SIGN', 'TANA']
U+10D27	𐴧	['HANIFI', 'ROHINGYA', 'SIGN', 'TASSI']
U+11000	𑀀	['BRAHMI', 'SIGN', 'CANDRABINDU']
U+11001	𑀁	['BRAHMI', 'SIGN', 'ANUSVARA']
U+11002	𑀂	['BRAHMI', 'SIGN', 'VISARGA']
U+11003	𑀃	['BRAHMI', 'SIGN', 'JIHVAMULIYA']
U+11004	𑀄	['BRAHMI', 'SIGN', 'UPADHMANIYA']
U+11038	𑀸	['BRAHMI', 'VOWEL', 'SIGN', 'AA']
U+11039	𑀹	['BRAHMI', 'VOWEL', 'SIGN', 'BHATTIPROLU', 'AA']
U+1103A	𑀺	['BRAHMI', 'VOWEL', 'SIGN', 'I']
U+1103B	𑀻	['BRAHMI', 'VOWEL', 'SIGN', 'II']
U+1103C	𑀼	['BRAHMI', 'VOWEL', 'SIGN', 'U']
U+1103D	𑀽	['BRAHMI', 'VOWEL', 'SIGN', 'UU']
U+1103E	𑀾	['BRAHMI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+1103F	𑀿	['BRAHMI', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+11040	𑁀	['BRAHMI', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+11041	𑁁	['BRAHMI', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+11042	𑁂	['BRAHMI', 'VOWEL', 'SIGN', 'E']
U+11043	𑁃	['BRAHMI', 'VOWEL', 'SIGN', 'AI']
U+11044	𑁄	['BRAHMI', 'VOWEL', 'SIGN', 'O']
U+11045	𑁅	['BRAHMI', 'VOWEL', 'SIGN', 'AU']
U+11070	𑁰	['BRAHMI', 'SIGN', 'OLD', 'TAMIL', 'VIRAMA']
U+11073	𑁳	['BRAHMI', 'VOWEL', 'SIGN', 'OLD', 'TAMIL', 'SHORT', 'E']
U+11074	𑁴	['BRAHMI', 'VOWEL', 'SIGN', 'OLD', 'TAMIL', 'SHORT', 'O']
U+11080	𑂀	['KAITHI', 'SIGN', 'CANDRABINDU']
U+11081	𑂁	['KAITHI', 'SIGN', 'ANUSVARA']
U+11082	𑂂	['KAITHI', 'SIGN', 'VISARGA']
U+110B0	𑂰	['KAITHI', 'VOWEL', 'SIGN', 'AA']
U+110B1	𑂱	['KAITHI', 'VOWEL', 'SIGN', 'I']
U+110B2	𑂲	['KAITHI', 'VOWEL', 'SIGN', 'II']
U+110B3	𑂳	['KAITHI', 'VOWEL', 'SIGN', 'U']
U+110B4	𑂴	['KAITHI', 'VOWEL', 'SIGN', 'UU']
U+110B5	𑂵	['KAITHI', 'VOWEL', 'SIGN', 'E']
U+110B6	𑂶	['KAITHI', 'VOWEL', 'SIGN', 'AI']
U+110B7	𑂷	['KAITHI', 'VOWEL', 'SIGN', 'O']
U+110B8	𑂸	['KAITHI', 'VOWEL', 'SIGN', 'AU']
U+110B9	𑂹	['KAITHI', 'SIGN', 'VIRAMA']
U+110BA	𑂺	['KAITHI', 'SIGN', 'NUKTA']
U+110BB	𑂻	['KAITHI', 'ABBREVIATION', 'SIGN']
U+110BC	𑂼	['KAITHI', 'ENUMERATION', 'SIGN']
U+110BD	𑂽	['KAITHI', 'NUMBER', 'SIGN']
U+110C2	𑃂	['KAITHI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+110CD	𑃍	['KAITHI', 'NUMBER', 'SIGN', 'ABOVE']
U+11100	𑄀	['CHAKMA', 'SIGN', 'CANDRABINDU']
U+11101	𑄁	['CHAKMA', 'SIGN', 'ANUSVARA']
U+11102	𑄂	['CHAKMA', 'SIGN', 'VISARGA']
U+11127	𑄧	['CHAKMA', 'VOWEL', 'SIGN', 'A']
U+11128	𑄨	['CHAKMA', 'VOWEL', 'SIGN', 'I']
U+11129	𑄩	['CHAKMA', 'VOWEL', 'SIGN', 'II']
U+1112A	𑄪	['CHAKMA', 'VOWEL', 'SIGN', 'U']
U+1112B	𑄫	['CHAKMA', 'VOWEL', 'SIGN', 'UU']
U+1112C	𑄬	['CHAKMA', 'VOWEL', 'SIGN', 'E']
U+1112D	𑄭	['CHAKMA', 'VOWEL', 'SIGN', 'AI']
U+1112E	𑄮	['CHAKMA', 'VOWEL', 'SIGN', 'O']
U+1112F	𑄯	['CHAKMA', 'VOWEL', 'SIGN', 'AU']
U+11130	𑄰	['CHAKMA', 'VOWEL', 'SIGN', 'OI']
U+11145	𑅅	['CHAKMA', 'VOWEL', 'SIGN', 'AA']
U+11146	𑅆	['CHAKMA', 'VOWEL', 'SIGN', 'EI']
U+11173	𑅳	['MAHAJANI', 'SIGN', 'NUKTA']
U+11174	𑅴	['MAHAJANI', 'ABBREVIATION', 'SIGN']
U+11180	𑆀	['SHARADA', 'SIGN', 'CANDRABINDU']
U+11181	𑆁	['SHARADA', 'SIGN', 'ANUSVARA']
U+11182	𑆂	['SHARADA', 'SIGN', 'VISARGA']
U+111B3	𑆳	['SHARADA', 'VOWEL', 'SIGN', 'AA']
U+111B4	𑆴	['SHARADA', 'VOWEL', 'SIGN', 'I']
U+111B5	𑆵	['SHARADA', 'VOWEL', 'SIGN', 'II']
U+111B6	𑆶	['SHARADA', 'VOWEL', 'SIGN', 'U']
U+111B7	𑆷	['SHARADA', 'VOWEL', 'SIGN', 'UU']
U+111B8	𑆸	['SHARADA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+111B9	𑆹	['SHARADA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+111BA	𑆺	['SHARADA', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+111BB	𑆻	['SHARADA', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+111BC	𑆼	['SHARADA', 'VOWEL', 'SIGN', 'E']
U+111BD	𑆽	['SHARADA', 'VOWEL', 'SIGN', 'AI']
U+111BE	𑆾	['SHARADA', 'VOWEL', 'SIGN', 'O']
U+111BF	𑆿	['SHARADA', 'VOWEL', 'SIGN', 'AU']
U+111C0	𑇀	['SHARADA', 'SIGN', 'VIRAMA']
U+111C1	𑇁	['SHARADA', 'SIGN', 'AVAGRAHA']
U+111C2	𑇂	['SHARADA', 'SIGN', 'JIHVAMULIYA']
U+111C3	𑇃	['SHARADA', 'SIGN', 'UPADHMANIYA']
U+111C7	𑇇	['SHARADA', 'ABBREVIATION', 'SIGN']
U+111CA	𑇊	['SHARADA', 'SIGN', 'NUKTA']
U+111CE	𑇎	['SHARADA', 'VOWEL', 'SIGN', 'PRISHTHAMATRA', 'E']
U+111CF	𑇏	['SHARADA', 'SIGN', 'INVERTED', 'CANDRABINDU']
U+111DB	𑇛	['SHARADA', 'SIGN', 'SIDDHAM']
U+111DD	𑇝	['SHARADA', 'CONTINUATION', 'SIGN']
U+1122C	𑈬	['KHOJKI', 'VOWEL', 'SIGN', 'AA']
U+1122D	𑈭	['KHOJKI', 'VOWEL', 'SIGN', 'I']
U+1122E	𑈮	['KHOJKI', 'VOWEL', 'SIGN', 'II']
U+1122F	𑈯	['KHOJKI', 'VOWEL', 'SIGN', 'U']
U+11230	𑈰	['KHOJKI', 'VOWEL', 'SIGN', 'E']
U+11231	𑈱	['KHOJKI', 'VOWEL', 'SIGN', 'AI']
U+11232	𑈲	['KHOJKI', 'VOWEL', 'SIGN', 'O']
U+11233	𑈳	['KHOJKI', 'VOWEL', 'SIGN', 'AU']
U+11234	𑈴	['KHOJKI', 'SIGN', 'ANUSVARA']
U+11235	𑈵	['KHOJKI', 'SIGN', 'VIRAMA']
U+11236	𑈶	['KHOJKI', 'SIGN', 'NUKTA']
U+11237	𑈷	['KHOJKI', 'SIGN', 'SHADDA']
U+1123D	𑈽	['KHOJKI', 'ABBREVIATION', 'SIGN']
U+1123E	𑈾	['KHOJKI', 'SIGN', 'SUKUN']
U+112DF	𑋟	['KHUDAWADI', 'SIGN', 'ANUSVARA']
U+112E0	𑋠	['KHUDAWADI', 'VOWEL', 'SIGN', 'AA']
U+112E1	𑋡	['KHUDAWADI', 'VOWEL', 'SIGN', 'I']
U+112E2	𑋢	['KHUDAWADI', 'VOWEL', 'SIGN', 'II']
U+112E3	𑋣	['KHUDAWADI', 'VOWEL', 'SIGN', 'U']
U+112E4	𑋤	['KHUDAWADI', 'VOWEL', 'SIGN', 'UU']
U+112E5	𑋥	['KHUDAWADI', 'VOWEL', 'SIGN', 'E']
U+112E6	𑋦	['KHUDAWADI', 'VOWEL', 'SIGN', 'AI']
U+112E7	𑋧	['KHUDAWADI', 'VOWEL', 'SIGN', 'O']
U+112E8	𑋨	['KHUDAWADI', 'VOWEL', 'SIGN', 'AU']
U+112E9	𑋩	['KHUDAWADI', 'SIGN', 'NUKTA']
U+112EA	𑋪	['KHUDAWADI', 'SIGN', 'VIRAMA']
U+11300	𑌀	['GRANTHA', 'SIGN', 'COMBINING', 'ANUSVARA', 'ABOVE']
U+11301	𑌁	['GRANTHA', 'SIGN', 'CANDRABINDU']
U+11302	𑌂	['GRANTHA', 'SIGN', 'ANUSVARA']
U+11303	𑌃	['GRANTHA', 'SIGN', 'VISARGA']
U+1133C	𑌼	['GRANTHA', 'SIGN', 'NUKTA']
U+1133D	𑌽	['GRANTHA', 'SIGN', 'AVAGRAHA']
U+1133E	𑌾	['GRANTHA', 'VOWEL', 'SIGN', 'AA']
U+1133F	𑌿	['GRANTHA', 'VOWEL', 'SIGN', 'I']
U+11340	𑍀	['GRANTHA', 'VOWEL', 'SIGN', 'II']
U+11341	𑍁	['GRANTHA', 'VOWEL', 'SIGN', 'U']
U+11342	𑍂	['GRANTHA', 'VOWEL', 'SIGN', 'UU']
U+11343	𑍃	['GRANTHA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+11344	𑍄	['GRANTHA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+11347	𑍇	['GRANTHA', 'VOWEL', 'SIGN', 'EE']
U+11348	𑍈	['GRANTHA', 'VOWEL', 'SIGN', 'AI']
U+1134B	𑍋	['GRANTHA', 'VOWEL', 'SIGN', 'OO']
U+1134C	𑍌	['GRANTHA', 'VOWEL', 'SIGN', 'AU']
U+1134D	𑍍	['GRANTHA', 'SIGN', 'VIRAMA']
U+1135D	𑍝	['GRANTHA', 'SIGN', 'PLUTA']
U+11362	𑍢	['GRANTHA', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+11363	𑍣	['GRANTHA', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+11435	𑐵	['NEWA', 'VOWEL', 'SIGN', 'AA']
U+11436	𑐶	['NEWA', 'VOWEL', 'SIGN', 'I']
U+11437	𑐷	['NEWA', 'VOWEL', 'SIGN', 'II']
U+11438	𑐸	['NEWA', 'VOWEL', 'SIGN', 'U']
U+11439	𑐹	['NEWA', 'VOWEL', 'SIGN', 'UU']
U+1143A	𑐺	['NEWA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+1143B	𑐻	['NEWA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+1143C	𑐼	['NEWA', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+1143D	𑐽	['NEWA', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+1143E	𑐾	['NEWA', 'VOWEL', 'SIGN', 'E']
U+1143F	𑐿	['NEWA', 'VOWEL', 'SIGN', 'AI']
U+11440	𑑀	['NEWA', 'VOWEL', 'SIGN', 'O']
U+11441	𑑁	['NEWA', 'VOWEL', 'SIGN', 'AU']
U+11442	𑑂	['NEWA', 'SIGN', 'VIRAMA']
U+11443	𑑃	['NEWA', 'SIGN', 'CANDRABINDU']
U+11444	𑑄	['NEWA', 'SIGN', 'ANUSVARA']
U+11445	𑑅	['NEWA', 'SIGN', 'VISARGA']
U+11446	𑑆	['NEWA', 'SIGN', 'NUKTA']
U+11447	𑑇	['NEWA', 'SIGN', 'AVAGRAHA']
U+11448	𑑈	['NEWA', 'SIGN', 'FINAL', 'ANUSVARA']
U+1144F	𑑏	['NEWA', 'ABBREVIATION', 'SIGN']
U+1145D	𑑝	['NEWA', 'INSERTION', 'SIGN']
U+11460	𑑠	['NEWA', 'SIGN', 'JIHVAMULIYA']
U+11461	𑑡	['NEWA', 'SIGN', 'UPADHMANIYA']
U+114B0	𑒰	['TIRHUTA', 'VOWEL', 'SIGN', 'AA']
U+114B1	𑒱	['TIRHUTA', 'VOWEL', 'SIGN', 'I']
U+114B2	𑒲	['TIRHUTA', 'VOWEL', 'SIGN', 'II']
U+114B3	𑒳	['TIRHUTA', 'VOWEL', 'SIGN', 'U']
U+114B4	𑒴	['TIRHUTA', 'VOWEL', 'SIGN', 'UU']
U+114B5	𑒵	['TIRHUTA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+114B6	𑒶	['TIRHUTA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+114B7	𑒷	['TIRHUTA', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+114B8	𑒸	['TIRHUTA', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+114B9	𑒹	['TIRHUTA', 'VOWEL', 'SIGN', 'E']
U+114BA	𑒺	['TIRHUTA', 'VOWEL', 'SIGN', 'SHORT', 'E']
U+114BB	𑒻	['TIRHUTA', 'VOWEL', 'SIGN', 'AI']
U+114BC	𑒼	['TIRHUTA', 'VOWEL', 'SIGN', 'O']
U+114BD	𑒽	['TIRHUTA', 'VOWEL', 'SIGN', 'SHORT', 'O']
U+114BE	𑒾	['TIRHUTA', 'VOWEL', 'SIGN', 'AU']
U+114BF	𑒿	['TIRHUTA', 'SIGN', 'CANDRABINDU']
U+114C0	𑓀	['TIRHUTA', 'SIGN', 'ANUSVARA']
U+114C1	𑓁	['TIRHUTA', 'SIGN', 'VISARGA']
U+114C2	𑓂	['TIRHUTA', 'SIGN', 'VIRAMA']
U+114C3	𑓃	['TIRHUTA', 'SIGN', 'NUKTA']
U+114C4	𑓄	['TIRHUTA', 'SIGN', 'AVAGRAHA']
U+114C6	𑓆	['TIRHUTA', 'ABBREVIATION', 'SIGN']
U+115AF	𑖯	['SIDDHAM', 'VOWEL', 'SIGN', 'AA']
U+115B0	𑖰	['SIDDHAM', 'VOWEL', 'SIGN', 'I']
U+115B1	𑖱	['SIDDHAM', 'VOWEL', 'SIGN', 'II']
U+115B2	𑖲	['SIDDHAM', 'VOWEL', 'SIGN', 'U']
U+115B3	𑖳	['SIDDHAM', 'VOWEL', 'SIGN', 'UU']
U+115B4	𑖴	['SIDDHAM', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+115B5	𑖵	['SIDDHAM', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+115B8	𑖸	['SIDDHAM', 'VOWEL', 'SIGN', 'E']
U+115B9	𑖹	['SIDDHAM', 'VOWEL', 'SIGN', 'AI']
U+115BA	𑖺	['SIDDHAM', 'VOWEL', 'SIGN', 'O']
U+115BB	𑖻	['SIDDHAM', 'VOWEL', 'SIGN', 'AU']
U+115BC	𑖼	['SIDDHAM', 'SIGN', 'CANDRABINDU']
U+115BD	𑖽	['SIDDHAM', 'SIGN', 'ANUSVARA']
U+115BE	𑖾	['SIDDHAM', 'SIGN', 'VISARGA']
U+115BF	𑖿	['SIDDHAM', 'SIGN', 'VIRAMA']
U+115C0	𑗀	['SIDDHAM', 'SIGN', 'NUKTA']
U+115C1	𑗁	['SIDDHAM', 'SIGN', 'SIDDHAM']
U+115DC	𑗜	['SIDDHAM', 'VOWEL', 'SIGN', 'ALTERNATE', 'U']
U+115DD	𑗝	['SIDDHAM', 'VOWEL', 'SIGN', 'ALTERNATE', 'UU']
U+11630	𑘰	['MODI', 'VOWEL', 'SIGN', 'AA']
U+11631	𑘱	['MODI', 'VOWEL', 'SIGN', 'I']
U+11632	𑘲	['MODI', 'VOWEL', 'SIGN', 'II']
U+11633	𑘳	['MODI', 'VOWEL', 'SIGN', 'U']
U+11634	𑘴	['MODI', 'VOWEL', 'SIGN', 'UU']
U+11635	𑘵	['MODI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+11636	𑘶	['MODI', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+11637	𑘷	['MODI', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+11638	𑘸	['MODI', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+11639	𑘹	['MODI', 'VOWEL', 'SIGN', 'E']
U+1163A	𑘺	['MODI', 'VOWEL', 'SIGN', 'AI']
U+1163B	𑘻	['MODI', 'VOWEL', 'SIGN', 'O']
U+1163C	𑘼	['MODI', 'VOWEL', 'SIGN', 'AU']
U+1163D	𑘽	['MODI', 'SIGN', 'ANUSVARA']
U+1163E	𑘾	['MODI', 'SIGN', 'VISARGA']
U+1163F	𑘿	['MODI', 'SIGN', 'VIRAMA']
U+11640	𑙀	['MODI', 'SIGN', 'ARDHACANDRA']
U+11643	𑙃	['MODI', 'ABBREVIATION', 'SIGN']
U+11644	𑙄	['MODI', 'SIGN', 'HUVA']
U+116AB	𑚫	['TAKRI', 'SIGN', 'ANUSVARA']
U+116AC	𑚬	['TAKRI', 'SIGN', 'VISARGA']
U+116AD	𑚭	['TAKRI', 'VOWEL', 'SIGN', 'AA']
U+116AE	𑚮	['TAKRI', 'VOWEL', 'SIGN', 'I']
U+116AF	𑚯	['TAKRI', 'VOWEL', 'SIGN', 'II']
U+116B0	𑚰	['TAKRI', 'VOWEL', 'SIGN', 'U']
U+116B1	𑚱	['TAKRI', 'VOWEL', 'SIGN', 'UU']
U+116B2	𑚲	['TAKRI', 'VOWEL', 'SIGN', 'E']
U+116B3	𑚳	['TAKRI', 'VOWEL', 'SIGN', 'AI']
U+116B4	𑚴	['TAKRI', 'VOWEL', 'SIGN', 'O']
U+116B5	𑚵	['TAKRI', 'VOWEL', 'SIGN', 'AU']
U+116B6	𑚶	['TAKRI', 'SIGN', 'VIRAMA']
U+116B7	𑚷	['TAKRI', 'SIGN', 'NUKTA']
U+116B9	𑚹	['TAKRI', 'ABBREVIATION', 'SIGN']
U+1171D	𑜝	['AHOM', 'CONSONANT', 'SIGN', 'MEDIAL', 'LA']
U+1171E	𑜞	['AHOM', 'CONSONANT', 'SIGN', 'MEDIAL', 'RA']
U+1171F	𑜟	['AHOM', 'CONSONANT', 'SIGN', 'MEDIAL', 'LIGATING', 'RA']
U+11720	𑜠	['AHOM', 'VOWEL', 'SIGN', 'A']
U+11721	𑜡	['AHOM', 'VOWEL', 'SIGN', 'AA']
U+11722	𑜢	['AHOM', 'VOWEL', 'SIGN', 'I']
U+11723	𑜣	['AHOM', 'VOWEL', 'SIGN', 'II']
U+11724	𑜤	['AHOM', 'VOWEL', 'SIGN', 'U']
U+11725	𑜥	['AHOM', 'VOWEL', 'SIGN', 'UU']
U+11726	𑜦	['AHOM', 'VOWEL', 'SIGN', 'E']
U+11727	𑜧	['AHOM', 'VOWEL', 'SIGN', 'AW']
U+11728	𑜨	['AHOM', 'VOWEL', 'SIGN', 'O']
U+11729	𑜩	['AHOM', 'VOWEL', 'SIGN', 'AI']
U+1172A	𑜪	['AHOM', 'VOWEL', 'SIGN', 'AM']
U+1172B	𑜫	['AHOM', 'SIGN', 'KILLER']
U+1173C	𑜼	['AHOM', 'SIGN', 'SMALL', 'SECTION']
U+1173D	𑜽	['AHOM', 'SIGN', 'SECTION']
U+1173E	𑜾	['AHOM', 'SIGN', 'RULAI']
U+1182C	𑠬	['DOGRA', 'VOWEL', 'SIGN', 'AA']
U+1182D	𑠭	['DOGRA', 'VOWEL', 'SIGN', 'I']
U+1182E	𑠮	['DOGRA', 'VOWEL', 'SIGN', 'II']
U+1182F	𑠯	['DOGRA', 'VOWEL', 'SIGN', 'U']
U+11830	𑠰	['DOGRA', 'VOWEL', 'SIGN', 'UU']
U+11831	𑠱	['DOGRA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+11832	𑠲	['DOGRA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+11833	𑠳	['DOGRA', 'VOWEL', 'SIGN', 'E']
U+11834	𑠴	['DOGRA', 'VOWEL', 'SIGN', 'AI']
U+11835	𑠵	['DOGRA', 'VOWEL', 'SIGN', 'O']
U+11836	𑠶	['DOGRA', 'VOWEL', 'SIGN', 'AU']
U+11837	𑠷	['DOGRA', 'SIGN', 'ANUSVARA']
U+11838	𑠸	['DOGRA', 'SIGN', 'VISARGA']
U+11839	𑠹	['DOGRA', 'SIGN', 'VIRAMA']
U+1183A	𑠺	['DOGRA', 'SIGN', 'NUKTA']
U+1183B	𑠻	['DOGRA', 'ABBREVIATION', 'SIGN']
U+11930	𑤰	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'AA']
U+11931	𑤱	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'I']
U+11932	𑤲	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'II']
U+11933	𑤳	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'U']
U+11934	𑤴	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'UU']
U+11935	𑤵	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'E']
U+11937	𑤷	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'AI']
U+11938	𑤸	['DIVES', 'AKURU', 'VOWEL', 'SIGN', 'O']
U+1193B	𑤻	['DIVES', 'AKURU', 'SIGN', 'ANUSVARA']
U+1193C	𑤼	['DIVES', 'AKURU', 'SIGN', 'CANDRABINDU']
U+1193D	𑤽	['DIVES', 'AKURU', 'SIGN', 'HALANTA']
U+1193F	𑤿	['DIVES', 'AKURU', 'PREFIXED', 'NASAL', 'SIGN']
U+11943	𑥃	['DIVES', 'AKURU', 'SIGN', 'NUKTA']
U+119D1	𑧑	['NANDINAGARI', 'VOWEL', 'SIGN', 'AA']
U+119D2	𑧒	['NANDINAGARI', 'VOWEL', 'SIGN', 'I']
U+119D3	𑧓	['NANDINAGARI', 'VOWEL', 'SIGN', 'II']
U+119D4	𑧔	['NANDINAGARI', 'VOWEL', 'SIGN', 'U']
U+119D5	𑧕	['NANDINAGARI', 'VOWEL', 'SIGN', 'UU']
U+119D6	𑧖	['NANDINAGARI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+119D7	𑧗	['NANDINAGARI', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+119DA	𑧚	['NANDINAGARI', 'VOWEL', 'SIGN', 'E']
U+119DB	𑧛	['NANDINAGARI', 'VOWEL', 'SIGN', 'AI']
U+119DC	𑧜	['NANDINAGARI', 'VOWEL', 'SIGN', 'O']
U+119DD	𑧝	['NANDINAGARI', 'VOWEL', 'SIGN', 'AU']
U+119DE	𑧞	['NANDINAGARI', 'SIGN', 'ANUSVARA']
U+119DF	𑧟	['NANDINAGARI', 'SIGN', 'VISARGA']
U+119E0	𑧠	['NANDINAGARI', 'SIGN', 'VIRAMA']
U+119E1	𑧡	['NANDINAGARI', 'SIGN', 'AVAGRAHA']
U+119E2	𑧢	['NANDINAGARI', 'SIGN', 'SIDDHAM']
U+119E4	𑧤	['NANDINAGARI', 'VOWEL', 'SIGN', 'PRISHTHAMATRA', 'E']
U+11A01	𑨁	['ZANABAZAR', 'SQUARE', 'VOWEL', 'SIGN', 'I']
U+11A02	𑨂	['ZANABAZAR', 'SQUARE', 'VOWEL', 'SIGN', 'UE']
U+11A03	𑨃	['ZANABAZAR', 'SQUARE', 'VOWEL', 'SIGN', 'U']
U+11A04	𑨄	['ZANABAZAR', 'SQUARE', 'VOWEL', 'SIGN', 'E']
U+11A05	𑨅	['ZANABAZAR', 'SQUARE', 'VOWEL', 'SIGN', 'OE']
